,First Name,Last Name,Email,Phone,Gender,Age,Job Title,Years Of Experience,Salary,Department
26,Tammy,Ellis,tammyellis26570@slingacademy.com,029.476.5817x88014,female,37,HR Manager,14,14000,Human Resource
31,Angela,Stewart,angelastewart31951@slingacademy.com,745-157-5520,female,34,HR Manager,10,10000,Human Resource
43,Daniel,Wagner,danielwagner43907@slingacademy.com,001-038-830-2184x508,male,35,HR Manager,11,12500,Human Resource
45,Brett,Friedman,brettfriedman45236@slingacademy.com,+1-548-885-3476x195,male,34,HR Manager,10,10000,Human Resource
49,Jessica,Torres,jessicatorres49971@slingacademy.com,547-005-1763x2506,female,33,HR Manager,7,9500,Human Resource
61,Danielle,Morrison,daniellemorrison61394@slingacademy.com,001-256-780-2930x98623,female,31,HR Manager,7,9500,Human Resource
72,Gregory,House,gregoryhouse72945@slingacademy.com,1541376919,male,34,HR Manager,9,9500,Human Resource
95,Eugene,Mcintyre,eugenemcintyre95994@slingacademy.com,481-160-8125,male,25,HR Manager,2,7000,Human Resource
104,Jessica,Park,jessicapark104881@slingacademy.com,874-348-4705,female,26,HR Manager,1,5500,Human Resource
106,Andrew,Silva,andrewsilva106948@slingacademy.com,3782883279,male,35,HR Manager,12,11000,Human Resource
